NameNodes:          1-NN                2-NN                3-NN                4-NN                5-NN                6-NN                7-NN                8-NN                9-NN                10-NN               11-NN               12-NN               
HopsFS_MKDIR        4167.93             11473.87            18888.47            26486.27            34193.81            38691.64            43449.62            48350.96            52787.11            48251.5             57459.84            63145.37            
HDFS_MKDIR          16513.62            -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   
HopsFS_CREATE_FILE  2127.79             5172.8              8104.33             11327.77            14614.75            16630.14            18632.59            20579.43            21833.67            23966.89            24750.77            25052.98            
HDFS_CREATE_FILE    3472.72             -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   
HopsFS_APPEND_FILE  1596.82             3892.19             6124.39             8575.52             11079.25            12549.38            14086.32            15540.34            16811.84            17842.12            18882.16            19392.72            
HDFS_APPEND_FILE    3212.03             -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   
HopsFS_READ_FILE    6157.71             15327.84            24199.71            33864.36            43476.85            49491.89            55310.26            60762.47            67285.08            71609.69            73822.03            81513.06            
HDFS_READ_FILE      26421.41            -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   
HopsFS_LS_DIR       4355.96             10161.32            15722.53            21491.68            26117.59            27929.82            29601.14            28565.64            30584.56            30437.27            29033.93            31096.31            
HDFS_LS_DIR         31318.08            -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   
HopsFS_LS_FILE      7881.51             20406.1             32910.99            46145.33            59443.3             67244.25            75490.05            83858.61            91987.45            96763.19            100835.87           110087.16           
HDFS_LS_FILE        33016.47            -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   
HopsFS_CHMOD_FILE   3224.46             8362.61             13389.54            18494.27            23512.37            26383.32            29506.78            32637.32            35754.06            37031.49            38554.63            42794.14            
HDFS_CHMOD_FILE     18241.44            -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   
HopsFS_CHMOD_DIR    3152.94             7289.31             10841.36            13458.23            14569.12            14071.4             13793.82            14376.62            14378.48            13639.54            13605.69            14729.05            
HDFS_CHMOD_DIR      18473.04            -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   
HopsFS_INFO_FILE    7976.05             20549.12            33208.26            46704.88            59648.82            67671.4             75419.0             84487.47            92685.97            96986.94            101137.06           109771.75           
HDFS_INFO_FILE      33948.68            -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   
HopsFS_INFO_DIR     9065.02             23006.88            36712.81            51518.14            65888.41            74766.84            83995.43            93359.61            102333.29           105726.14           112445.52           124083.61           
HDFS_INFO_DIR       33311.11            -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   
HopsFS_SET_REPL     5569.15             13563.53            21346.93            29838.81            38474.36            43981.1             49583.1             55045.04            59927.1             63329.22            65687.84            70580.84            
HDFS_SET_REPL       6656.07             -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   
HopsFS_RENAME_FILE  1729.49             4447.32             7183.93             10029.33            12951.61            14524.81            16171.41            17944.75            19680.46            20799.41            21941.22            24330.25            
HDFS_RENAME_FILE    13888.37            -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   
HopsFS_DEL_FILE     2828.63             7219.87             11597.83            16306.39            20815.27            23654.16            26401.51            29271.95            32154.52            33546.58            34964.68            38488.88            
HDFS_DEL_FILE       18783.25            -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   
HopsFS_CHOWN_FILE   3241.97             8159.77             13040.09            18190.21            23166.05            26390.82            29618.69            32871.49            35728.95            36829.15            38935.0             42965.49            
HDFS_CHOWN_FILE     -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   
HopsFS_CHOWN_DIR    3161.4              7197.08             10686.76            13448.2             14508.18            14174.43            13806.54            14394.16            14337.95            13519.42            13567.28            14603.75            
HDFS_CHOWN_DIR      -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   
