NameNodes:          1-NN                2-NN                3-NN                4-NN                5-NN                6-NN                7-NN                8-NN                9-NN                10-NN               11-NN               12-NN               
HopsFS_MKDIR        9462.11             19628.67            29174.73            38299.39            46740.25            53465.9             57055.11            58944.29            60467.21            61933.06            60835.69            62235.61            
HDFS_MKDIR          -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   
HopsFS_CREATE_FILE  4322.15             8337.33             12004.09            15318.79            18272.72            20738.84            21773.58            22104.01            22460.22            23139.14            22690.63            22619.38            
HDFS_CREATE_FILE    -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   
HopsFS_APPEND_FILE  3364.25             6519.3              9450.86             12038.28            14613.59            16709.54            17781.37            18229.89            18612.1             18888.37            19069.66            18700.18            
HDFS_APPEND_FILE    -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   
HopsFS_READ_FILE    13426.28            26436.77            39449.68            52474.86            65058.4             76453.16            86818.77            94737.76            101466.94           106877.56           106822.86           109978.04           
HDFS_READ_FILE      -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   
HopsFS_LS_DIR       9209.46             18049.73            27189.9             36064.17            44979.17            54087.84            61763.89            68252.97            74732.76            80047.61            82734.77            81085.83            
HDFS_LS_DIR         -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   
HopsFS_LS_FILE      18028.62            35243.84            53312.11            72893.75            89880.13            106895.98           122366.94           136094.94           147030.11           155263.32           158320.85           158984.71           
HDFS_LS_FILE        -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   
HopsFS_CHMOD_FILE   7002.95             13723.12            20460.89            27144.33            33245.7             38815.74            42766.53            45518.08            47275.69            49165.56            48820.53            49378.05            
HDFS_CHMOD_FILE     -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   
HopsFS_CHMOD_DIR    6414.1              12447.62            17149.68            19105.92            18629.0             19146.28            18698.84            18069.59            17752.7             17444.44            16837.79            16369.48            
HDFS_CHMOD_DIR      -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   
HopsFS_INFO_FILE    18017.66            35934.67            53317.85            71055.67            88109.16            105192.97           120747.01           134881.27           146198.49           154140.79           157957.49           156565.8            
HDFS_INFO_FILE      -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   
HopsFS_INFO_DIR     19801.82            38942.17            58302.41            77650.25            96703.58            114351.65           131789.99           145779.96           157287.3            167167.36           171457.58           173043.75           
HDFS_INFO_DIR       -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   
HopsFS_SET_REPL     11707.03            22521.9             32702.13            42387.14            50895.79            58332.95            63494.4             65973.93            68257.22            70050.59            69514.59            70277.97            
HDFS_SET_REPL       -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   
HopsFS_RENAME_FILE  3832.86             7633.58             11189.75            14850.11            18520.51            21958.26            24476.34            26428.32            27735.92            28310.97            27833.84            28656.04            
HDFS_RENAME_FILE    -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   
HopsFS_DEL_FILE     6224.94             12555.08            18468.03            24315.41            30012.52            35443.19            39166.96            41364.58            43491.34            44568.62            44023.16            45619.05            
HDFS_DEL_FILE       -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   
HopsFS_CHOWN_FILE   6964.8              13644.29            20348.59            26631.78            32875.88            38557.5             42538.78            45454.21            47464.29            48842.26            48515.56            49283.97            
HDFS_CHOWN_FILE     -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   
HopsFS_CHOWN_DIR    6460.13             12446.85            17235.5             19291.09            18599.97            19150.76            18739.03            18147.72            17743.43            17505.86            16774.85            16431.39            
HDFS_CHOWN_DIR      -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   
